course,review,stars,provider
Sage 50 Accounting 2018 for Beginner - CPD Accredited,Enjoying the course. Well worth the cost. A qualification that I can show a future employer.,4.0,one_education
HR and Payroll Management with Recruitment Consultant Diploma - CPD Accredited,Good value for money course. Informative and good learning. The drawback is have to be online all time for learning. If can be accessed ofline as well after purchase will be excellent.,4.6,one_education
Building Surveyor Training - CPD Accredited,I have not been provided with any login details so I have not done the training so I can give any comments.,1.0,one_education
Transport Planner Course - CPD Accredited,,4.3,one_education
Chakra Healing and Balancing Online Training,"If I ordered this, it was a mistake. I certainly could write a review, because I only went to site today, with great difficulty, I might add. Once there, I realized I did not order this course. Please refund sorry for any difficulties.",1.0,one_education
Safeguarding Children and Vulnerable Adults - CPD Accredited,"Very informative course , I feel I've achieved a better understanding of the subject. Really enjoyed it",5.0,one_education
Security Management Diploma - CPD Accredited,,5.0,one_education
Car Mechanic Training - CPD Accredited,,3.0,one_education
Funeral Service Business Course - CPD Accredited,Good course.....enjoyed it thank you!,5.0,one_education
Pass Your Driving Theory Test - Theory Test Preparation & Safety Awareness Training,,5.0,one_education
Podiatry Training Course - CPD Accredited,I find it crazy how it is so hard to access the course once you’ve bought it! Still can’t see how to get on it ridiculous,1.0,one_education
Microsoft Excel Ultimate 5 Courses Bundle with 100+ Exclusive Excel Templates,Absolute nightmare cant work through the way it is set out very difficult to understand the whole structure. Very difficult outlay,1.0,one_education
Phlebotomist Training - CPD Accredited,,5.0,one_education
Freelance Barber Training - CPD Accredited,"An excellent barbering course, 27 units, video lessons and online study material, really easy to follow and understand.",5.0,one_education
GDPR For Office Administrator - CPD Accredited,Lector who is reading course is automatic and is reading some information not showed on pages and you can not turn it off. That why 3 stairs. Course content all information you need to work in office with personal data - 5 star. I paid £14 and this is reason why 5 star if I'll pay original price will be just 1 star.,4.3,one_education
HR Consultant Training - CPD Accredited,,4.0,one_education
Motorcycle Mechanic Training - CPD Accredited,"You’d love my feedback and I’d love you to f.uck off and stop emailing me in compliance with my multiple unsubscribe requests and data protection law. The course was sh1t, I wish I hadn’t wasted my money, I wouldn’t mind a refund for the course which has a misleading title and exercising my rights under BRITISH LAW I want you to remove my contact details from your mailing lists. How’s that for a review?",1.0,one_education
Gel Manicure and Nail Technician Diploma - CPD Accredited,Would of like to of seen some videos specially for the gel nail part. Overall not a bad course for the price I paid for it,2.3,one_education
Occupational Therapy Support Worker - CPD Accredited,,4.0,one_education
Google Analytics Training,,4.6,one_education
Mental Health Nursing – Level 3 Training Diploma - CPD Accredited,Really enjoyed this course and would highly recommend,5.0,one_education
Furniture Restoration and Design - CPD Accredited,Very disappointing as the quality of the orator is very poor.,3.6,one_education
Diploma in Medical Secretary - CPD Accredited,,5.0,one_education
Level 3 Award in Education and Training - AET (Formerly PTLLS),It has been a wonderful experience to the choose the course provider through the reed .co. Thanks a lot.,5.0,one_education
Estate Agent Diploma Level 3 - CPD Accredited,perfect,5.0,one_education
Diploma in Medical Secretary - CPD Accredited,,5.0,one_education
